City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Tuy Hoa,VN,2021-10-19 23:57:46,13.0833,109.3,78.57,90,84,4.16
154,Kodiak,US,2021-10-20 00:01:23,57.79,-152.4072,44.28,85,100,1.36
155,Marsh Harbour,BS,2021-10-20 00:00:08,26.5412,-77.0636,78.1,57,98,17.69
156,Muli,MV,2021-10-20 00:01:23,2.9167,73.5667,82.18,75,20,12.06
157,San Antonio,US,2021-10-20 00:00:01,29.4241,-98.4936,79.81,60,57,7.54
158,Senneterre,CA,2021-10-20 00:01:24,48.3835,-77.2328,45.25,86,46,4.7
159,Vardo,NO,2021-10-20 00:01:24,70.3705,31.1107,33.58,62,95,9.48
160,Puerto Penasco,MX,2021-10-20 00:01:25,31.3167,-113.5333,75.9,54,1,5.01
161,Praia Da Vitoria,PT,2021-10-20 00:01:25,38.7333,-27.0667,64.76,88,2,7.02
162,Hohhot,CN,2021-10-20 00:01:26,40.8106,111.6522,39.61,29,1,4.36
163,Bongaree,AU,2021-10-20 00:01:26,-27.0797,153.1586,81.54,66,0,4.03
164,Saskylakh,RU,2021-10-20 00:01:27,71.9167,114.0833,18.72,97,100,0.85
165,Bambous Virieux,MU,2021-10-20 00:01:27,-20.3428,57.7575,70.21,74,45,8.88
166,College,US,2021-10-20 00:01:27,64.8569,-147.8028,37.8,55,100,4.7
167,Itaituba,BR,2021-10-20 00:01:28,-4.2761,-55.9836,79.36,76,88,3.56
168,Ucluelet,CA,2021-10-19 23:59:29,48.9329,-125.5528,58.08,64,100,1.01
169,Kavieng,PG,2021-10-20 00:01:28,-2.5744,150.7967,84.2,71,78,8.75
170,Luanda,AO,2021-10-19 23:57:16,-8.8368,13.2343,75.2,83,75,5.75
171,Lovozero,RU,2021-10-20 00:01:29,68.005,35.0117,25.61,86,90,8.43
172,Atuona,PF,2021-10-19 23:58:30,-9.8,-139.0333,77.76,77,5,19.04
173,Saint-Philippe,RE,2021-10-20 00:01:30,-21.3585,55.7679,71.19,75,14,7.92
174,Chhindwara,IN,2021-10-20 00:01:30,22.0667,78.9333,66.18,87,57,4.9
175,Kaitangata,NZ,2021-10-20 00:01:31,-46.2817,169.8464,52.93,49,39,7.09
176,Valparaiso,CL,2021-10-20 00:01:32,-33.0393,-71.6273,58.48,81,77,7.36
177,Ascension,US,2021-10-20 00:01:32,30.2169,-90.9001,75.2,70,1,0.0
178,King City,US,2021-10-20 00:01:22,36.2127,-121.126,69.76,24,33,10.63
179,Ancud,CL,2021-10-20 00:01:33,-41.8697,-73.8203,56.43,97,27,1.79
180,Geraldton,AU,2021-10-20 00:01:33,-28.7667,114.6,64.81,59,90,17.27
181,Khatanga,RU,2021-10-20 00:01:34,71.9667,102.5,23.36,94,100,16.4
182,Bac Lieu,VN,2021-10-20 00:00:46,9.285,105.7244,80.22,82,60,2.93
183,Chokurdakh,RU,2021-10-20 00:01:34,70.6333,147.9167,-8.86,95,98,5.93
184,Barmer,IN,2021-10-20 00:01:35,25.75,71.3833,74.93,47,0,8.32
185,Cherskiy,RU,2021-10-20 00:01:35,68.75,161.3,-2.96,100,100,3.15
