City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather
240,Saint Anthony,US,45.0205,-93.218,42.31,83,1,1.01,clear sky
241,Nigran,ES,42.1415,-8.8066,68.4,75,0,3.0,clear sky
242,Mitu,CO,1.1983,-70.1733,86.22,66,95,3.33,overcast clouds
243,College,US,64.8569,-147.8028,28.58,89,75,0.0,broken clouds
244,Flinders,AU,-34.5833,150.8552,67.17,89,72,1.99,light rain
245,Atbasar,KZ,51.8,68.3333,51.28,60,31,18.19,scattered clouds
246,Taoudenni,ML,22.6783,-3.9836,93.34,15,0,3.85,clear sky
247,Klaksvik,FO,62.2266,-6.589,50.92,95,100,40.73,overcast clouds
248,Beloha,MG,-25.1667,45.05,76.1,62,20,10.02,few clouds
249,Coihueco,CL,-36.6167,-71.8333,56.14,54,75,13.8,broken clouds
250,San Patricio,US,28.017,-97.5169,78.64,74,100,8.86,overcast clouds
251,Sorland,NO,67.667,12.6934,28.47,52,83,8.23,broken clouds
252,Lasa,IT,46.6166,10.7002,61.54,42,7,1.21,clear sky
253,Razvad,RO,44.9333,25.5333,65.26,99,98,5.44,overcast clouds
254,Linxia,CN,35.6003,103.2064,48.13,69,8,0.89,clear sky
255,Hasaki,JP,35.7333,140.8333,43.2,52,0,15.59,clear sky
256,Provideniya,RU,64.3833,-173.3,24.15,78,100,8.59,overcast clouds
257,Carnarvon,AU,-24.8667,113.6333,69.87,68,0,17.27,clear sky
258,Hay River,CA,60.8156,-115.7999,38.84,70,99,13.22,overcast clouds
259,Shakawe,BW,-18.3667,21.85,95.32,19,66,11.32,broken clouds
260,Aketi,CD,2.7388,23.7833,82.44,64,92,1.48,overcast clouds
261,Ilulissat,GL,69.2167,-51.1,19.42,86,90,25.32,shower snow
262,Nome,US,64.5011,-165.4064,32.07,70,90,3.44,overcast clouds
263,Zhanaozen,KZ,43.3,52.8,57.56,16,0,12.48,clear sky
264,Praia,CV,14.9215,-23.5087,86.54,58,20,21.85,few clouds
265,Santiago,CL,-33.4569,-70.6483,60.85,50,4,4.88,clear sky
266,Juneau,US,58.3019,-134.4197,48.2,85,75,3.0,light rain
267,Isahaya,JP,32.8411,130.0431,54.45,63,0,8.34,clear sky
268,Belo Oriente,BR,-19.22,-42.4836,79.32,66,90,5.12,overcast clouds
269,Aanekoski,FI,62.6946,25.818,30.27,100,99,7.9,overcast clouds
270,Calabozo,VE,8.9242,-67.4293,89.6,48,10,10.63,clear sky
271,Axim,GH,4.8699,-2.2405,81.18,74,99,7.96,light rain
272,Xiantao,CN,30.3833,113.4,57.07,58,45,4.0,scattered clouds
273,Rzhev,RU,56.2624,34.3282,39.9,76,14,11.74,few clouds
274,Terrell,US,32.736,-96.2753,75.78,88,90,11.5,overcast clouds
275,Vardo,NO,70.3705,31.1107,30.4,74,100,12.75,light snow
276,Nuuk,GL,64.1835,-51.7216,29.01,50,20,12.66,few clouds
277,Gat,IL,31.61,34.7642,75.88,3,0,12.15,clear sky
278,Saint-Joseph,RE,-21.3667,55.6167,77.38,84,62,4.92,broken clouds
279,Oistins,BB,13.0667,-59.5333,83.57,64,89,19.6,overcast clouds
280,Koraput,IN,18.8167,82.7167,67.62,87,14,3.42,few clouds
281,Siirt,TR,37.9326,41.9403,63.03,25,0,2.55,clear sky
282,Arnstadt,DE,50.8333,10.95,51.89,68,75,8.05,broken clouds
283,Mount Isa,AU,-20.7333,139.5,74.97,64,100,3.44,light rain
284,Forestville,US,38.8451,-76.875,62.46,75,75,0.0,broken clouds
285,Dingle,PH,10.9995,122.6711,74.98,94,100,5.77,light rain
286,Fort Nelson,CA,58.8053,-122.7002,32.16,85,17,2.19,few clouds
287,Bara,NG,10.3744,10.7288,84.94,60,43,7.38,light rain
288,Kavaratti,IN,10.5669,72.642,82.17,76,93,3.94,overcast clouds
289,Jiwani,PK,25.05,61.7417,79.5,72,0,10.22,clear sky
290,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,76.8,75,43,9.53,scattered clouds
291,Ziro,IN,27.6333,93.8333,51.13,92,44,1.36,scattered clouds
292,Caravelas,BR,-17.7125,-39.2481,80.28,67,76,9.1,broken clouds
